han	han+Pcle
biiggáid	biigá+N+Err/Orth+Pl+Gen
biiggáid	biigá+N+Pl+Acc
biiggáid	biigá+N+Pl+Gen

biibbalhistorjá	biibbalhistorjá+N+Sg+Nom

biibalhistorjjá	biibalhistorjá+N+Sg+Acc
biibalhistorjjá	biibalhistorjá+N+Sg+Gen

bekkii	beaggit+V+IV+Ind+Prt+Sg3
bekkii	beaggit+V+IV+Ind+Prt+Err/Orth+Sg3

bearpma	bearbma+N+Sg+Acc
bearpma	bearbma+N+Sg+Gen

beahtahallan	beahtahallat+V+IV+Pass+PrfPrc
beahtahallan	beahtahallat+V+IV+Pass+Actio+Gen
beahtahallan	beahtahallat+V+IV+Pass+Actio+Nom
beahtahallan	beahtahallat+V+IV+Pass+Ind+Prt+ConNeg

bargoskibir	bargoskibir+N+Sg+Nom

bajábeallái	badjebealli+Err/Orth+N+Sg+Ill
bajábeallái	bajábeallai+Po
bajábeallái	bajábeallai+Pr

bággejedje	bágget+V+TV+Ind+Prt+Pl3

artium	artium+N+Sg+Acc+Err/Orth
artium	artium+N+Sg+Gen+Err/Orth
artium	artium+N+Sg+Nom

árgi	árgi+A+Sg+Nom

Aŋkke	aŋkke+Adv

Ammal	ammal+Pcle

almmuhusa	almmuhus+N+Sg+Acc
almmuhusa	almmuhus+N+Sg+Gen

Almmatge	almmatge+Adv

áktánasat	áktánas+A+Pl+Nom
áktánasat	áktánas+A+Comp+Attr
áktánasat	áktánas+A+Comp+Sg+Nom
áktánasat	áktánas+A+Pl+Nom

akademalaš	akademalaš+A+Sg+Nom
akademalaš	akademalaš+A+Attr

aivvefal	aivvefal+Adv

aiddooahppan	aiddooahppan+A+Attr
aiddooahppan	aiddooahppan+A+Sg+Nom
aiddooahppan	aiddooahppan+A+Pl+Nom

ahtanuššat	ahtanuššat+V+IV+Inf
ahtanuššat	ahtanuššat+V+IV+Ind+Prs+Pl1

áddemeahttun	áddemeahttun+A+Attr
áddemeahttun	áddemeahttun+A+Sg+Acc
áddemeahttun	áddemeahttun+A+Sg+Gen
áddemeahttun	áddemeahttun+A+Sg+Nom

Våk	Våk+N+Prop+Sem/Sur+Sg+Acc
Våk	Våk+N+Prop+Sem/Sur+Sg+Gen
Våk	Våk+N+Prop+Sem/Sur+Sg+Nom
Våk	Våk+N+Prop+Sem/Plc+Sg+Acc
Våk	Våk+N+Prop+Sem/Plc+Sg+Gen
Våk	Våk+N+Prop+Sem/Plc+Sg+Nom

vuosttaldeaddji	vuosttaldit+V+TV+PrsPrc

vuostemiella	vuostemiella+N+Sg+Nom

vuostálasvuohta	vuostálasvuohta+N+Sg+Nom

vuostálasvuođaid	vuostálasvuohta+N+Pl+Acc
vuostálasvuođaid	vuostálasvuohta+N+Pl+Acc+Err/Orth
vuostálasvuođaid	vuostálasvuohta+N+Pl+Gen
vuostálasvuođaid	vuostálasvuohta+N+Pl+Gen+Err/Orth

vuostálastimat	vuostálastin+N+Pl+Nom

vuoššaimet	vuoššat+V+TV+Ind+Prt+Err/Orth+Pl1
vuoššaimet	vuoššat+V+TV+Ind+Prt+Pl1

Vuosehussan	vuosehus+N+Ess

vuoittahalai	vuoittáhallat+Err/Orth+V+IV+Pass+Ind+Prt+Sg3
vuoittahalai	vuoittáhallat+Err/Orth+V+IV+Pass+Ind+Prt+Err/Orth+Sg3

virgádit	virgádit+V+TV+Inf
virgádit	virgádit+V+TV+Ind+Prs+Pl1
virgádit	virgádit+V+TV+Ind+Prs+Pl3
virgádit	virgádit+V+TV+Ind+Prt+Sg2

vilbealli	vilbealle+v2+N+Sg+Nom

viessohoaiddárin	viessohoaiddár+N+Ess+Err/Orth
viessohoaiddárin	viessohoaiddár+N+Ess

Vearrámusat	vearrámusat+Adv
Vearrámusat	vearrái+A+Superl+Pl+Nom

veallájin	veallát+V+IV+Ind+Prt+Sg1

vealahit	vealahit+V+TV+Inf
vealahit	vealahit+V+TV+Ind+Prs+Pl1
vealahit	vealahit+V+TV+Ind+Prs+Pl3
vealahit	vealahit+V+TV+Ind+Prt+Sg2

vávda	vávda+Adv


várrogas	várrogas+A+Attr
várrogas	várrogas+A+Sg+Nom

válbmen	válbmet+V+TV+PrfPrc
válbmen	válbmet+V+TV+Ind+Prs+Sg1
válbmen	válbmet+V+TV+Actio+Gen
válbmen	válbmet+V+TV+Actio+Nom
válbmen	válbmet+V+TV+Ind+Prt+ConNeg

válbmane	válbmanit+V+IV+Ind+Prt+Pl3
válbmane	válbmanit+V+IV+Ind+Prs+Du1+Err/Orth

válbmanan	válbmanit+V+IV+PrfPrc
válbmanan	válbmanit+V+IV+Actio+Gen
válbmanan	válbmanit+V+IV+Actio+Nom
válbmanan	válbmanit+V+IV+Ind+Prt+ConNeg
válbmanan	válbmanit+V+IV+Ind+Prs+Sg1

Váile	váile+Adv

váikku	váikko+Err/Orth+CS

Váikku	váikko+Err/Orth+CS

váidalusa	váidalus+N+Sg+Acc
váidalusa	váidalus+N+Sg+Gen

váibbakeahttá	váibat+V+IV+VAbess

vaháguvvan	vaháguvvat+V+IV+PrfPrc
vaháguvvan	vaháguvvat+V+IV+Actio+Gen
vaháguvvan	vaháguvvat+V+IV+Actio+Nom
vaháguvvan	vaháguvvat+V+IV+Ind+Prt+ConNeg

vádjolan	vádjolit+V+IV+PrfPrc
vádjolan	vádjolit+V+IV+Actio+Gen
vádjolan	vádjolit+V+IV+Actio+Nom
vádjolan	vádjolit+V+IV+Ind+Prt+ConNeg
vádjolan	vádjolit+V+IV+Ind+Prs+Sg1

USKAV	USKAV+N+ACR+Sg+Acc
USKAV	USKAV+N+ACR+Sg+Gen
USKAV	USKAV+N+ACR+Sg+Nom

unohis	unohas+A+Attr

unnoraččat	unnoraš+N+Pl+Nom

unnimustá	unnimustá+Adv

tealttás	tealtá+N+Sg+Loc

symbolan	symbola+N+Sg+Loc+South+Err/Orth
symbolan	symbola+N+Ess

suovvabohcci	suovvabohcci+N+Sg+Acc
suovvabohcci	suovvabohcci+N+Sg+Gen
suovvabohcci	suovvabohcci+N+Sg+Nom


suorggahahtti	suorggahahtti+A+Attr
suorggahahtti	suorggahahtti+A+Sg+Acc
suorggahahtti	suorggahahtti+A+Sg+Gen
suorggahahtti	suorggahahtti+A+Sg+Nom

suonain	suotna+N+Err/Orth+Pl+Loc
suonain	suotna+N+Err/Orth+Sg+Com
suonain	suotna+N+Pl+Loc
suonain	suotna+N+Sg+Com

suivat	suivat+A+Sg+Nom
suivat	suivat+A+Sg+Acc+Err/Orth
suivat	suivat+A+Sg+Gen+Err/Orth

suga	suhkat+V+IV+VGen
suga	suhkat+V+IV+Imprt+ConNeg
suga	suhkat+V+IV+Imprt+Sg2
suga	suhkat+V+IV+Ind+Prs+ConNeg

sturrosaš	sturrosaš+A+Sg+Nom
sturrosaš	sturrosaš+A+Attr

streiken	streiket+V+IV+PrfPrc
streiken	streiket+V+IV+Ind+Prs+Sg1
streiken	streiket+V+IV+Actio+Gen
streiken	streiket+V+IV+Actio+Nom
streiken	streiket+V+IV+Ind+Prt+ConNeg

Streaika	streaika+N+Sg+Nom

stivrejumi	stivrejupmi+N+Sg+Acc
stivrejumi	stivrejupmi+N+Sg+Gen

spealu	speallu+N+Sg+Acc
spealu	speallu+N+Sg+Gen

sotnabeaiskuvlla	sotnabeaiskuvla+N+Sg+Acc
sotnabeaiskuvlla	sotnabeaiskuvla+N+Sg+Gen

soahtat	soahtat+V+IV+Inf
soahtat	soahtat+V+IV+Ind+Prs+Pl1

Skuvllot	skuvllot+N+Sg+Nom
Skuvllot	skuvllot+N+Sg+Acc+Err/Orth
Skuvllot	skuvllot+N+Sg+Gen+Err/Orth

skuvllii	skuvllet+V+TV+Ind+Prt+Sg3

skuvlen	skuvlen+N+Sg+Gen
skuvlen	skuvlen+N+Sg+Nom
skuvlen	skuvlet+V+TV+PrfPrc
skuvlen	skuvlet+V+TV+Ind+Prs+Sg1
skuvlen	skuvlet+V+TV+Actio+Gen
skuvlen	skuvlet+V+TV+Actio+Nom
skuvlen	skuvlet+V+TV+Ind+Prt+ConNeg

skuvlemii	skuvlen+N+Sg+Ill

skuvlejedje	skuvlet+V+TV+Ind+Prt+Pl3


skuvlameaštára	skuvlameašttir+N+Sg+Acc
skuvlameaštára	skuvlameašttir+N+Sg+Gen
skuvlameaštára	skuvlameaštár+N+Sg+Acc
skuvlameaštára	skuvlameaštár+N+Sg+Gen



skuvlageatnegahtton	skuvlageatnegahtton+A+Attr
skuvlageatnegahtton	skuvlageatnegahtton+A+Sg+Nom
skuvlageatnegahtton	skuvlageatnegahtton+A+Pl+Nom

skovlot	skuvllot+Err/Orth+N+Sg+Nom
skovlot	skuvllot+Err/Orth+N+Sg+Acc+Err/Orth
skovlot	skuvllot+Err/Orth+N+Sg+Gen+Err/Orth

Skole	skole+Interj
Skole	skolet+V+IV+VGen
Skole	skolet+V+IV+Imprt+ConNeg
Skole	skolet+V+IV+Imprt+Sg2
Skole	skolet+V+IV+Ind+Prs+ConNeg
Skole	skolet+V+IV+Ind+Prs+Sg3

skihpáriid	skihpár+N+Pl+Acc
skihpáriid	skihpár+N+Pl+Gen
skihpáriid	skibir+N+Pl+Acc
skihpáriid	skibir+N+Pl+Gen

siskkimusas	siskkit+A+Superl+Sg+Loc

sihtá	sihtit+V+TV+Ind+Prs+Sg3
sihtá	sihtat+V+TV+Ind+Prs+Sg3

sihkkeliin	sihkkel+N+Pl+Loc
sihkkeliin	sihkkel+N+Sg+Com

siddjiide	siddjii+A+Err/Orth+Pl+Ill

šibitdoavttirin	šibitdoavttir+N+Ess

šibitdoavttir	šibitdoavttir+N+Sg+Nom

šibitdoalus	šibitdoallu+N+Sg+Loc

servvoštalle	servvoštallat+V+IV+Ind+Prs+Du1
servvoštalle	servvoštallat+V+IV+Ind+Prt+Pl3

sensor	sensor+N+Sg+Acc+Err/Orth
sensor	sensor+N+Sg+Gen+Err/Orth
sensor	sensor+N+Sg+Nom

searaid	searra+N+Err/Orth+Pl+Acc
searaid	searra+N+Err/Orth+Pl+Gen
searaid	searra+N+Pl+Acc
searaid	searra+N+Pl+Gen
searaid	searat+N+Pl+Acc
searaid	searat+N+Pl+Acc+Err/Orth
searaid	searat+N+Pl+Gen
searaid	searat+N+Pl+Gen+Err/Orth
searaid	searra+A+Pl+Acc
searaid	searra+A+Pl+Gen

šárkkain	šárka+N+Err/Orth+Pl+Loc
šárkkain	šárka+N+Err/Orth+Sg+Com
šárkkain	šárka+N+Pl+Loc
šárkkain	šárka+N+Sg+Com

sámefoandalasáhusa	sámefoandalasáhus+N+Sg+Acc
sámefoandalasáhusa	sámefoandalasáhus+N+Sg+Gen

sáltet	sáltet+V+TV+Inf
sáltet	sáltet+V+TV+Ind+Prs+Pl1
sáltet	sáltet+V+TV+Ind+Prs+Sg2

šállobuhtadus	šállobuhtadus+N+Sg+Nom

sáimma	sáibma+N+Sg+Acc
sáimma	sáibma+N+Sg+Gen

sáhkkii	sáhkket+V+TV+Ind+Prt+Sg3
sáhkkii	sáhkkii+A+Sg+Ill
sáhkkii	sáhkkii+A+Sg+Nom


sabehat	sabet+N+Pl+Nom

ruotnasiid	ruonas+N+Pl+Acc
ruotnasiid	ruonas+N+Pl+Gen
ruotnasiid	ruonas+A+Pl+Acc
ruotnasiid	ruonas+A+Pl+Gen


ruggui	ruggu+N+Sg+Ill

rohkki	rohkki+N+Sg+Nom

rohki	rohkki+N+Sg+Acc
rohki	rohkki+N+Sg+Gen


risteadni	risteadni+N+Sg+Nom


riŋgii	riŋga+N+Sg+Ill
riŋgii	riŋget+V+TV+Ind+Prt+Sg3

rigeret	rigeret+V+TV+Inf
rigeret	rigeret+V+TV+Ind+Prs+Pl1
rigeret	rigeret+V+TV+Ind+Prs+Sg2

rigerejedje	rigeret+V+TV+Ind+Prt+Pl3

rievidit	rievidit+V+TV+Inf
rievidit	rievidit+V+TV+Ind+Prs+Pl1
rievidit	rievidit+V+TV+Ind+Prs+Pl3
rievidit	rievidit+V+TV+Ind+Prt+Sg2


rievdá	rievdat+V+IV+Ind+Prs+Sg3

riedja	riedja+N+Sg+Nom

rehkega	rehket+N+Sg+Acc
rehkega	rehket+N+Sg+Gen

realskuvla	reálaskuvla+Err/Orth+N+Sg+Nom

reagain	reahka+N+Err/Orth+Pl+Loc
reagain	reahka+N+Err/Orth+Sg+Com
reagain	reahka+N+Pl+Loc
reagain	reahka+N+Sg+Com

rávásmuvvan	rávásmuvvat+v1+V+IV+PrfPrc
rávásmuvvan	rávásmuvvat+v1+V+IV+Actio+Gen
rávásmuvvan	rávásmuvvat+v1+V+IV+Actio+Nom
rávásmuvvan	rávásmuvvat+v1+V+IV+Ind+Prt+ConNeg

rasisttalaš	rasisttalaš+A+Attr
rasisttalaš	rasisttalaš+A+Sg+Nom

raporttain	raporta+v1+N+Err/Orth+Pl+Loc
raporttain	raporta+v1+N+Err/Orth+Sg+Com
raporttain	raporta+v1+N+Pl+Loc
raporttain	raporta+v1+N+Sg+Com

Raporta	raporta+v1+N+Sg+Nom

ránnjáiguin	ránnjá+N+Err/Orth+Pl+Com
ránnjáiguin	ránnjá+N+Pl+Com

rámbuvrris	rámbuvri+N+Sg+Loc

rámbuvrii	rámbuvra+N+Sg+Ill

Ráhkká	ráhkká+N+Sg+Nom

Ráhkis	ráhkis+A+Sg+Nom
Ráhkis	ráhkis+A+Err/Orth+Attr
Ráhkis	ráhkistit+V+TV+Imprt+ConNeg
Ráhkis	ráhkistit+V+TV+Imprt+Sg2
Ráhkis	ráhkistit+V+TV+Ind+Prs+ConNeg

ráhkadusbargguin	ráhkadusbargu+N+Err/Orth+Pl+Loc
ráhkadusbargguin	ráhkadusbargu+N+Err/Orth+Sg+Com
ráhkadusbargguin	ráhkadusbargu+N+Pl+Loc
ráhkadusbargguin	ráhkadusbargu+N+Sg+Com

rahčamušaid	rahčamuš+N+Pl+Acc
rahčamušaid	rahčamuš+N+Pl+Acc+Err/Orth
rahčamušaid	rahčamuš+N+Pl+Gen
rahčamušaid	rahčamuš+N+Pl+Gen+Err/Orth

ráfálaš	ráfálaš+A+Attr
ráfálaš	ráfálaš+A+Sg+Nom

ráfálaččat	ráfálaččat+Adv
ráfálaččat	ráfálaš+A+Pl+Nom
ráfálaččat	ráfálaš+A+Comp+Attr
ráfálaččat	ráfálaš+A+Comp+Sg+Nom

ráđđejedje	ráđđet+V+TV+Ind+Prt+Pl3

pultta	pulta+N+Sg+Acc
pultta	pulta+N+Sg+Gen

protokolla	protokolla+N+G3+Sg+Nom
protokolla	protokolla+N+G3+Sg+Acc
protokolla	protokolla+N+G3+Sg+Gen

prentehusa	prentehus+N+Sg+Acc
prentehusa	prentehus+N+Sg+Gen

preassadieđáhusa	preassadieđáhus+N+Sg+Acc
preassadieđáhusa	preassadieđáhus+N+Sg+Gen

ovttaláhkái	ovtta láhkai+Err/Orth+Adv

ovttageardánit	ovttageardán+A+Comp+Attr
ovttageardánit	ovttageardán+A+Comp+Sg+Nom

ovdaolbmot	ovdaolmmoš+N+Pl+Nom

ovdamearkkadihte	ovdamearkka dihte+Err/Orth+Adv

ovdamannit	ovdamanni+N+NomAg+Pl+Nom

ovdagoddi	ovdagoddi+N+Sg+Nom

Ovdagoddi	ovdagoddi+N+Sg+Nom

ovdabealde	ovddabealde+Err/Orth+Adv

oskkáldasmeahttun	oskkáldasmeahttun+A+Attr
oskkáldasmeahttun	oskkáldasmeahttun+A+Sg+Acc
oskkáldasmeahttun	oskkáldasmeahttun+A+Sg+Gen
oskkáldasmeahttun	oskkáldasmeahttun+A+Sg+Nom

oskkáldas	oskkáldas+A+Attr
oskkáldas	oskkáldas+A+Sg+Nom

ordnii	ordnet+V+TV+Ind+Prt+Sg3

ommanii	omman+N+Sg+Ill

ollašuvvet	ollašuvvat+V+IV+Ind+Prs+Pl3
ollašuvvet	ollašuvvat+V+IV+Ind+Prt+Sg2
ollašuvvet	ollašuvvat+V+IV+Imprt+Pl2

ollašuvvat	ollašuvvat+V+IV+Inf
ollašuvvat	ollašuvvat+V+IV+Ind+Prs+Pl1

olgguštit	olgguštit+V+TV+Inf
olgguštit	olgguštit+V+TV+Ind+Prs+Pl1
olgguštit	olgguštit+V+TV+Ind+Prs+Pl3
olgguštit	olgguštit+V+TV+Ind+Prt+Sg2

ohcamušat	ohcamuš+N+Pl+Nom

ohcamušas	ohcamuš+N+Sg+Loc

oapmana	oapman+N+Sg+Acc
oapmana	oapman+N+Sg+Gen
oapmana	oama+N+Sg+Acc
oapmana	oama+N+Sg+Gen

oapman	oapman+N+Sg+Acc+Err/Orth
oapman	oapman+N+Sg+Gen+Err/Orth
oapman	oapman+N+Sg+Nom
oapman	oama+N+Sg+Acc+Err/Orth
oapman	oama+N+Sg+Gen+Err/Orth

oamedovddolaččat	oamedovddolaš+A+Pl+Nom

oahppováillagiid	oahppováillat+A+Pl+Acc
oahppováillagiid	oahppováillat+A+Pl+Gen

oahppavaš	oahppavaš+A+Attr
oahppavaš	oahppavaš+A+Sg+Nom


oahpahusmodealla	oahpahusmodealla+N+G3+Sg+Nom
oahpahusmodealla	oahpahusmodealla+N+G3+Sg+Acc
oahpahusmodealla	oahpahusmodealla+N+G3+Sg+Gen

oahpaheaiskuvlla	oahpaheaiskuvla+N+Sg+Acc
oahpaheaiskuvlla	oahpaheaiskuvla+N+Sg+Gen

NOU	NOU+N+ACR+Sg+Acc
NOU	NOU+N+ACR+Sg+Gen
NOU	NOU+N+ACR+Sg+Nom

norggabeale	norggabealli+Err/Orth+N+Sg+Acc
norggabeale	norggabealli+Err/Orth+N+Sg+Gen

nohkke	nohkkat+V+IV+Ind+Prs+Du1
nohkke	nohkkat+V+IV+Ind+Prt+Pl3

NN	NN+N+ACR+Sg+Acc
NN	NN+N+ACR+Sg+Gen
NN	NN+N+ACR+Sg+Nom

njoarostit	njoarostit+V+TV+Inf
njoarostit	njoarostit+V+TV+Ind+Prs+Pl1
njoarostit	njoarostit+V+TV+Ind+Prs+Pl3
njoarostit	njoarostit+V+TV+Ind+Prt+Sg2

neavvuin	neavvu+N+G3+Err/Orth+Pl+Loc
neavvuin	neavvu+N+G3+Err/Orth+Sg+Com
neavvuin	neavvu+N+G3+Pl+Loc
neavvuin	neavvu+N+G3+Sg+Com

namahusaid	namahus+N+Pl+Acc
namahusaid	namahus+N+Pl+Gen
namahusaid	namahus+N+Err/Orth+Pl+Acc
namahusaid	namahus+N+Err/Orth+Pl+Gen

nákkáhallat	nákkáhallat+V+IV+Pass+Inf
nákkáhallat	nákkáhallat+V+IV+Pass+Ind+Prs+Pl1

nákcet	nákcet+V+IV+Inf
nákcet	nákcet+V+IV+Ind+Prs+Pl1
nákcet	nákcet+V+IV+Ind+Prs+Sg2

nággáris	nággár+A+Sg+Loc
nággáris	nággár+A+Attr

Munkerud	Munkerud+N+Prop+Sem/Sur+Sg+Acc
Munkerud	Munkerud+N+Prop+Sem/Sur+Sg+Gen
Munkerud	Munkerud+N+Prop+Sem/Sur+Sg+Nom
Munkerud	Munkerud+N+Prop+Sem/Plc+Sg+Acc
Munkerud	Munkerud+N+Prop+Sem/Plc+Sg+Gen
Munkerud	Munkerud+N+Prop+Sem/Plc+Sg+Nom


muhtunlágán	muhtunlágan+v2+A+Attr
muhtunlágán	muhtunlágan+v2+A+Sg+Nom
muhtunlágán	muhtunlágan+v2+A+Sg+Acc
muhtunlágán	muhtunlágan+v2+A+Sg+Gen+Err/Orth

muhtinlágán	muhtinlágan+v2+A+Attr
muhtinlágán	muhtinlágan+v2+A+Sg+Nom
muhtinlágán	muhtinlágan+v2+A+Sg+Acc
muhtinlágán	muhtinlágan+v2+A+Sg+Gen+Err/Orth

morálalaš	morálalaš+A+Attr
morálalaš	morálalaš+A+Sg+Nom

morálalaččat	morálalaš+A+Pl+Nom
morálalaččat	morálalaš+A+Comp+Attr
morálalaččat	morálalaš+A+Comp+Sg+Nom


Mohtora	mohtor+N+Sg+Acc
Mohtora	mohtor+N+Sg+Gen

modeallan	modealla+N+G3+Sg+Loc+South+Err/Orth
modeallan	modealla+N+G3+Ess

moattilot	moaddelogi+Num+Sg+Attr+Err/Orth

moattegielat	moattegielat+A+Sg+Nom
moattegielat	moattegielat+A+Sg+Acc+Err/Orth
moattegielat	moattegielat+A+Sg+Gen+Err/Orth
moattegielat	moattegielat+A+Attr

moalkás	moalkái+A+Attr

moaitámušaid	moaitimuš+N+Pl+Acc
moaitámušaid	moaitimuš+N+Pl+Acc+Err/Orth
moaitámušaid	moaitimuš+N+Pl+Gen
moaitámušaid	moaitimuš+N+Pl+Gen+Err/Orth
moaitámušaid	moaitámuš+N+Pl+Acc
moaitámušaid	moaitámuš+N+Pl+Acc+Err/Orth
moaitámušaid	moaitámuš+N+Pl+Gen
moaitámušaid	moaitámuš+N+Pl+Gen+Err/Orth

miššuvdna	miššuvdna+N+Sg+Nom

minstaris	minsttar+N+Sg+Loc

militearas	militeara+N+Sg+Loc

mielbargit	mielbargi+N+NomAg+Pl+Nom

mieđuštii	mieđuštit+V+TV+Ind+Prt+Sg3

merken	merken+N+Sg+Gen
merken	merken+N+Sg+Nom
merken	merket+V+TV+PrfPrc
merken	merket+V+TV+Ind+Prs+Sg1
merken	merket+V+TV+Actio+Gen
merken	merket+V+TV+Actio+Nom
merken	merket+V+TV+Ind+Prt+ConNeg

mekanihkar	mekanihkar+N+Sg+Nom

mealgadii	mealgat+A+Sg+Ill
mealgadii	mealgadii+Adv

mattek	matte+N+Pl+Nom+Err/Orth

mátkkošteaddjit	mátkkošteaddji+N+NomAg+Pl+Nom

máššan	máššat+V+IV+PrfPrc
máššan	máššat+V+IV+Actio+Gen
máššan	máššat+V+IV+Actio+Nom
máššan	máššat+V+IV+Ind+Prt+ConNeg

Mardoeke	Mardoeke+N+Prop+Sem/Fem+Sg+Acc
Mardoeke	Mardoeke+N+Prop+Sem/Fem+Sg+Gen
Mardoeke	Mardoeke+N+Prop+Sem/Fem+Sg+Nom


maŋisbohttiin	maŋisboahtti+N+NomAg+Err/Orth+Pl+Loc
maŋisbohttiin	maŋisboahtti+N+NomAg+Err/Orth+Sg+Com
maŋisbohttiin	maŋisboahtti+N+NomAg+Pl+Loc
maŋisbohttiin	maŋisboahtti+N+NomAg+Sg+Com

máŋggakultuvrrat	máŋggakultuvrrat+A+Sg+Nom
máŋggakultuvrrat	máŋggakultuvrrat+A+Sg+Acc+Err/Orth
máŋggakultuvrrat	máŋggakultuvrrat+A+Sg+Gen+Err/Orth
máŋggakultuvrrat	máŋggakultuvrrat+A+Attr

máŋgasis	máŋggas+N+Coll+Sg+Loc

máŋgasa	máŋggas+N+Coll+Sg+Acc
máŋgasa	máŋggas+N+Coll+Sg+Gen

maŋážassii	maŋážassii+Adv

maŋábealde	maŋábealde+Adv

makkáraš	makkáraš+A+Sg+Nom
makkáraš	makkáraš+A+Attr
makkáraš	makkáraš+Pron+Dem+Sg+Nom

luvvet	luovvat+V+TV+Ind+Prs+Pl3
luvvet	luovvat+V+TV+Ind+Prt+Sg2
luvvet	luovvat+V+TV+Imprt+Pl2
luvvet	luvvat+V+IV+Ind+Prs+Pl3
luvvet	luvvat+V+IV+Ind+Prt+Sg2
luvvet	luvvat+V+IV+Imprt+Pl2
luvvet	luvvedit+V+TV+Imprt+ConNeg
luvvet	luvvedit+V+TV+Imprt+Sg2
luvvet	luvvedit+V+TV+Ind+Prs+ConNeg
luvvet	luvvet+V+TV+Inf
luvvet	luvvet+V+TV+Ind+Prs+Pl1
luvvet	luvvet+V+TV+Ind+Prs+Sg2

luopmániid	luomi+N+Pl+Acc
luopmániid	luomi+N+Pl+Gen

luhkkárin	luhkkár+N+Ess+Err/Orth
luhkkárin	luhkkár+N+Ess

Lovttas	lokta+N+Sg+Loc

lotnolassii	lotnolassii+Adv
lotnolassii	lotnolas+A+Sg+Ill

lohka	lohka+N+Sg+Nom
lohka	lohkka+N+Sg+Acc
lohka	lohkka+N+Sg+Gen

linnjás	linnjá+N+Sg+Loc

lihkastagat	lihkastat+N+Pl+Nom


ligget	ligget+V+TV+Inf
ligget	ligget+V+TV+Ind+Prs+Pl1
ligget	ligget+V+TV+Ind+Prs+Sg2

liggemii	liggen+N+Sg+Ill

lestadiánalaččat	lestadiánalaš+N+Pl+Nom
lestadiánalaččat	lestadiánalaš+A+Pl+Nom

lektorin	lektor+N+Ess+Err/Orth
lektorin	lektor+N+Ess

leirii	leaira+N+Sg+Ill
leirii	leiret+V+TV+Ind+Prt+Sg3

leavvan	leavvan+N+Sg+Gen
leavvan	leavvan+N+Sg+Nom
leavvan	leavvat+V+IV+PrfPrc
leavvan	leavvat+V+IV+Actio+Gen
leavvan	leavvat+V+IV+Actio+Nom
leavvan	leavvat+V+IV+Ind+Prt+ConNeg


Leansmánni	leansmánni+N+G3+Sg+Acc
Leansmánni	leansmánni+N+G3+Sg+Gen
Leansmánni	leansmánni+N+G3+Sg+Nom

lávkejin	lávket+V+IV+Ind+Prt+Sg1

Lapland	Lapland+N+Prop+Sem/Sur+Sg+Nom
Lapland	Lapland+N+Prop+Sem/Sur+Sg+Acc+Err/Orth
Lapland	Lapland+N+Prop+Sem/Sur+Sg+Gen+Err/Orth
Lapland	Lapland+N+Prop+Sem/Sur+Err/Orth+Sg+Acc
Lapland	Lapland+N+Prop+Sem/Sur+Err/Orth+Sg+Gen
Lapland	Lapland+N+Prop+Sem/Plc+Sg+Nom
Lapland	Lapland+N+Prop+Sem/Plc+Sg+Acc+Err/Orth
Lapland	Lapland+N+Prop+Sem/Plc+Sg+Gen+Err/Orth
Lapland	Lapland+N+Prop+Sem/Plc+Err/Orth+Sg+Acc
Lapland	Lapland+N+Prop+Sem/Plc+Err/Orth+Sg+Gen

lájuiguin	ládju+N+Err/Orth+Pl+Com
lájuiguin	ládju+N+Pl+Com

láigohii	láigohit+V+TV+Ind+Prt+Sg3

láigohedje	láigohit+V+TV+Ind+Prt+Pl3

lahkonan	lahkonit+V+TV+PrfPrc
lahkonan	lahkonit+V+TV+Actio+Gen
lahkonan	lahkonit+V+TV+Actio+Nom
lahkonan	lahkonit+V+TV+Ind+Prt+ConNeg
lahkonan	lahkonit+V+TV+Ind+Prs+Sg1

lágádussii	lágádus+N+Sg+Ill

lágádusain	lágádus+N+Pl+Loc
lágádusain	lágádus+N+Sg+Com
lágádusain	lágádus+N+Err/Orth+Pl+Loc
lágádusain	lágádus+N+Err/Orth+Sg+Com

lágádus	lágádus+N+Sg+Nom

láddan	ládda+N+Ess
láddan	láddat+V+IV+PrfPrc
láddan	láddat+V+IV+Actio+Gen
láddan	láddat+V+IV+Actio+Nom
láddan	láddat+V+IV+Ind+Prt+ConNeg
láddan	láddan+A+Attr
láddan	láddan+A+Sg+Nom
láddan	láddan+A+Pl+Nom


konfirmánttaid	konfirmánta+N+Err/Orth+Pl+Acc
konfirmánttaid	konfirmánta+N+Err/Orth+Pl+Gen
konfirmánttaid	konfirmánta+N+Pl+Acc
konfirmánttaid	konfirmánta+N+Pl+Gen

kommentára	kommentára+N+Sg+Nom
kommentára	kommentára+N+Sg+Acc
kommentára	kommentára+N+Sg+Gen

kealláris	keallir+N+Sg+Loc
kealláris	keallár+N+Sg+Loc

kátkkesmus	kátkkesmus+N+Sg+Nom

Kárášjoga	Kárášjohka+N+Prop+Sem/Plc+Sg+Acc
