han	han+Pcle
earáláhkái	eará láhkai+Err/Orth+Adv

daguhii	daguhit+V+TV+Ind+Prt+Sg3

biiggát	biigá+N+Pl+Nom

bálljo	bálljo+Adv

já	já+Interj

gis	gis+Pcle

dáruiduvvan	dáruiduvvat+V+IV+PrfPrc
dáruiduvvan	dáruiduvvat+V+IV+Actio+Gen
dáruiduvvan	dáruiduvvat+V+IV+Actio+Nom
dáruiduvvan	dáruiduvvat+V+IV+Ind+Prt+ConNeg

bearehaga	bearehaga+Adv

vuostálastit	vuostálasti+N+NomAg+Pl+Nom
vuostálastit	vuostálastit+V+TV+Inf
vuostálastit	vuostálastit+V+TV+Imprt+Pl2
vuostálastit	vuostálastit+V+TV+Ind+Prs+Pl1

vearrámus	vearrái+A+Superl+Attr
vearrámus	vearrái+A+Superl+Sg+Nom

váidalit	váidalit+V+TV+Inf
váidalit	váidalit+V+TV+Ind+Prt+Sg2
váidalit	váidalit+V+TV+Ind+Prs+Pl1
váidalit	váidalit+V+TV+Ind+Prs+Pl3

oainnat	oainnat+Adv

mátkkoštit	mátkkoštit+V+IV+Inf
mátkkoštit	mátkkoštit+V+IV+Ind+Prs+Pl1
mátkkoštit	mátkkoštit+V+IV+Ind+Prs+Pl3
mátkkoštit	mátkkoštit+V+IV+Ind+Prt+Sg2

máhcai	máhccat+V+IV+Ind+Prt+Sg3
máhcai	máhccat+V+IV+Ind+Prt+Err/Orth+Sg3

heahpat	heahpat+N+Sg+Nom
heahpat	heahpat+N+Sg+Acc+Err/Orth
heahpat	heahpat+N+Sg+Gen+Err/Orth

hávil	hávil+Adv

govt	govt+Adv

gonagaslaš	gonagaslaš+A+Sg+Nom
gonagaslaš	gonagaslaš+A+Attr

et	et+Adv+ABBR
et	et+Adv+ABBR+Acc
et	et+Adv+ABBR+Attr
et	et+Adv+ABBR+Gen
et	et+Adv+ABBR+Nom

dáhtton	dáhttut+V+TV+PrfPrc
dáhtton	dáhttut+V+TV+Ind+Prt+ConNeg
dáhtton	dáhttut+V+TV+Ind+Prt+Sg1
dáhtton	dáhttut+V+TV+Imprt+Sg1

boaittobeale	boaittobeale+Adv

bahča	bahča+A+Sg+Nom
bahča	bahča+A+Attr

almma	almma+Pcle

sisafárrejeaddjit	sisafárrejeaddji+N+NomAg+Pl+Nom

roahkka	roahkka+Adv

nammasaš	nammasaš+A+Sg+Nom
nammasaš	nammasaš+A+Attr

ábut	áhpu+N+Pl+Nom
ábut	ábuhit+V+TV+Imprt+ConNeg
ábut	ábuhit+V+TV+Imprt+Sg2
ábut	ábuhit+V+TV+Ind+Prs+ConNeg

vuot	vuot+Adv

Sieiddás	sieidá+N+Sg+Loc

seahkálaga	seahkálaga+Adv

OSO	OSO+N+ACR+Sg+Acc
OSO	OSO+N+ACR+Sg+Gen
OSO	OSO+N+ACR+Sg+Nom

Lempi	Lempi+N+Prop+Sem/Mal+Attr
Lempi	Lempi+N+Prop+Sem/Mal+Sg+Acc
Lempi	Lempi+N+Prop+Sem/Mal+Sg+Gen
Lempi	Lempi+N+Prop+Sem/Mal+Sg+Nom

gaskkal	gaskkal+Pr

bulii	buollit+V+IV+Ind+Prt+Sg3
bulii	buollit+V+IV+Ind+Prt+Err/Orth+Sg3


bakto	bakte+Err/Orth+Po

unohas	unohas+A+Sg+Nom
unohas	unohas+A+Attr


sihte	sihtit+V+TV+Ind+Prs+Du1
sihte	sihtit+V+TV+Ind+Prt+Pl3
